epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94442,1.65648,5.13157,1.56374,0.00167,0.5,0.00138,0.00077,1.33331,5.09582,1.466,0.00012,0.00012,0.00012
2,11.8265,1.12266,4.68897,1.1798,0.00278,0.83333,0.03623,0.03142,1.15857,4.36656,0.9916,0.000254852,0.000254852,0.000254852
3,17.6597,1.0519,3.31793,1.06753,0.00333,1,0.31479,0.19941,0.94652,4.00051,0.87569,0.00038416,0.00038416,0.00038416
4,23.5576,1.27711,2.84127,1.12383,0.00333,1,0.54901,0.32653,0.86813,3.85568,0.85031,0.000507924,0.000507924,0.000507924
5,29.544,1.06259,2.63432,1.08098,0.00333,1,0.61,0.18585,0.86751,3.80117,0.86572,0.000626144,0.000626144,0.000626144
6,35.6219,1.04099,3.06804,1.03686,0.00333,1,0.22558,0.03809,0.94558,4.04983,0.91342,0.00073882,0.00073882,0.00073882
7,41.5029,1.2877,2.47757,1.03942,0.00333,1,0.22558,0.03809,0.94558,4.04983,0.91342,0.000845952,0.000845952,0.000845952
8,47.5329,1.03516,2.9396,1.02865,0.00333,1,0.00981,0.00393,1.07157,3.98207,0.92291,0.00094754,0.00094754,0.00094754
9,53.4533,1.10493,2.46246,0.96535,1,0.73174,0.8371,0.43563,1.07607,3.61744,0.93556,0.00104358,0.00104358,0.00104358
10,59.3081,1.34403,2.40939,0.99506,1,0.73174,0.8371,0.43563,1.07607,3.61744,0.93556,0.00113408,0.00113408,0.00113408
11,65.2921,1.18791,2.57726,0.97844,1,0.76817,0.931,0.58104,0.98204,3.25486,0.86069,0.00121904,0.00121904,0.00121904
12,71.1691,1.24674,2.53439,1.02247,1,0.76817,0.931,0.58104,0.98204,3.25486,0.86069,0.00129845,0.00129845,0.00129845
13,77.0568,1.13919,1.93785,0.97353,1,0.55031,0.84841,0.66869,0.92236,3.20519,0.82819,0.00137232,0.00137232,0.00137232
14,82.8306,1.04974,2.08696,0.95636,1,0.55031,0.84841,0.66869,0.92236,3.20519,0.82819,0.00144064,0.00144064,0.00144064
15,88.714,1.14864,2.04312,1.01147,0.80047,0.5,0.81243,0.61568,0.96822,3.00077,0.88147,0.0014456,0.0014456,0.0014456
16,94.5756,1.25559,2.02913,1.03688,0.80047,0.5,0.81243,0.61568,0.96822,3.00077,0.88147,0.001406,0.001406,0.001406
17,100.433,1.11516,2.31371,1.02514,1,0.80064,0.94167,0.78813,0.84975,2.61301,0.83917,0.0013664,0.0013664,0.0013664
18,106.27,1.03457,1.74431,0.98494,1,0.80064,0.94167,0.78813,0.84975,2.61301,0.83917,0.0013268,0.0013268,0.0013268
